entryId,employeeId,projectId,activityName,date,hours
1,huba,26001,Activity_1,1111-11-11,2.0
2,huba,26001,Activity_1,1111-11-11,2.0
3,huba,26001,Activity_1,1111-11-11,1.5
4,huba,26001,Activity_1,1111-11-11,3.0
5,huba,26001,Activity_1,1111-11-11,2.0
6,huba,26001,Activity_1,1111-11-11,2.0
7,huba,26001,Activity_1,1111-11-11,2.0
8,huba,26001,Activity_1,1111-11-11,1.5
9,huba,26001,Activity_1,1111-11-11,3.0
10,huba,26001,Activity_1,1111-11-11,2.0
11,huba,26001,Activity_1,1111-11-11,2.0
12,huba,26001,Activity_1,1111-11-11,2.0
13,huba,26001,Activity_1,1111-11-11,1.5
14,huba,26001,Activity_1,1111-11-11,3.0
15,huba,26001,Activity_1,1111-11-11,2.0
16,huba,26001,Activity_1,1111-11-11,2.0
17,huba,26001,Activity_1,1111-11-11,2.0
18,huba,26001,Activity_1,1111-11-11,1.5
19,huba,26001,Activity_1,1111-11-11,3.0
20,huba,26001,Activity_1,1111-11-11,2.0
21,huba,26001,Activity_1,1111-11-11,2.0
22,huba,26001,Activity_1,1111-11-11,2.0
23,huba,26001,Activity_1,1111-11-11,1.5
24,huba,26001,Activity_1,1111-11-11,3.0
25,huba,26001,Activity_1,1111-11-11,2.0
26,huba,26001,Activity_1,1111-11-11,2.0
27,huba,26001,Activity_1,1111-11-11,2.0
28,huba,26001,Activity_1,1111-11-11,1.5
29,huba,26001,Activity_1,1111-11-11,3.0
30,huba,26001,Activity_1,1111-11-11,2.0
31,huba,26001,Activity_1,1111-11-11,2.0
32,huba,26001,Activity_1,1111-11-11,2.0
33,huba,26001,Activity_1,1111-11-11,1.5
34,huba,26001,Activity_1,1111-11-11,3.0
35,huba,26001,Activity_1,1111-11-11,2.0
36,huba,26001,Activity_1,1111-11-11,2.0
37,huba,26001,Activity_1,1111-11-11,2.0
38,huba,26001,Activity_1,1111-11-11,1.5
39,huba,26001,Activity_1,1111-11-11,3.0
40,huba,26001,Activity_1,1111-11-11,2.0
41,huba,26001,Activity_1,1111-11-11,2.0
42,huba,26001,Activity_1,1111-11-11,2.0
43,huba,26001,Activity_1,1111-11-11,1.5
44,huba,26001,Activity_1,1111-11-11,3.0
45,huba,26001,Activity_1,1111-11-11,2.0
46,huba,26001,Activity_1,1111-11-11,2.0
47,huba,26001,Activity_1,1111-11-11,2.0
48,huba,26001,Activity_1,1111-11-11,1.5
49,huba,26001,Activity_1,1111-11-11,3.0
50,huba,26001,Activity_1,1111-11-11,2.0
51,huba,26001,Activity_1,1111-11-11,2.0
52,huba,26001,Activity_1,1111-11-11,2.0
53,huba,26001,Activity_1,1111-11-11,1.5
54,huba,26001,Activity_1,1111-11-11,3.0
55,huba,26001,Activity_1,1111-11-11,2.0
56,huba,26001,Activity_1,1111-11-11,2.0
57,huba,26001,Activity_1,1111-11-11,2.0
58,huba,26001,Activity_1,1111-11-11,1.5
59,huba,26001,Activity_1,1111-11-11,3.0
60,huba,26001,Activity_1,1111-11-11,2.0
61,huba,26001,Activity_1,1111-11-11,2.0
62,huba,26001,Activity_1,1111-11-11,2.0
63,huba,26001,Activity_1,1111-11-11,1.5
64,huba,26001,Activity_1,1111-11-11,3.0
65,huba,26001,Activity_1,1111-11-11,2.0
66,huba,26001,Activity_1,1111-11-11,2.0
67,huba,26001,Activity_1,1111-11-11,2.0
68,huba,26001,Activity_1,1111-11-11,1.5
69,huba,26001,Activity_1,1111-11-11,3.0
70,huba,26001,Activity_1,2026-05-08,2.0
71,huba,26001,Activity_1,1111-11-11,2.0
72,huba,26001,Activity_1,1111-11-11,2.0
73,huba,26001,Activity_1,1111-11-11,2.0
74,huba,26001,Activity_1,1111-11-11,1.5
75,huba,26001,Activity_1,1111-11-11,3.0
76,huba,26001,Activity_1,2026-05-08,2.0
77,huba,26001,Activity_1,1111-11-11,2.0
78,huba,26001,Activity_1,1111-11-11,2.0
79,huba,26001,Activity_1,1111-11-11,2.0
80,huba,26001,Activity_1,1111-11-11,1.5
81,huba,26001,Activity_1,1111-11-11,3.0
82,huba,26001,Activity_1,2026-05-08,2.0
83,huba,26001,Activity_1,1111-11-11,2.0
84,huba,26001,Activity_1,1111-11-11,2.0
85,huba,26001,Activity_1,1111-11-11,2.0
86,huba,26001,Activity_1,1111-11-11,1.5
87,huba,26001,Activity_1,1111-11-11,3.0
88,huba,26001,Activity_1,2026-05-08,2.0
89,huba,26001,Activity_1,1111-11-11,2.0
90,huba,26001,Activity_1,1111-11-11,2.0
91,huba,26001,Activity_1,1111-11-11,2.0
92,huba,26001,Activity_1,1111-11-11,1.5
93,huba,26001,Activity_1,1111-11-11,3.0
94,huba,26001,Activity_1,2026-05-08,2.0
